Name^|mobile^|id^|address^|weight
尚薇凱^|0987413568^|Q244654548^|臺北市內湖區潭美街163號15樓^|111
姬嬪佐^|0963131183^|C106371654^|新北市汐止區工建路198號2樓^|97
何菱瑞^|0925308557^|P187545456^|雲林縣元長鄉內寮67號3樓^|45
路家誌^|0918745878^|J225051826^|臺南市永康區永大二路52號12樓^|52
束佳諭^|0988577250^|V106543807^|桃園市八德區廣豐路441號11樓^|114
簡銘家^|0917641401^|Z106715164^|桃園市桃園區民富十一街57號16樓^|70
蔣睿崧^|0952508807^|A110722729^|桃園市大溪區溪洲468號14樓^|114
侯仕漢^|0913327385^|R150618824^|新北市平溪區靜安路３段136號6樓^|58
向寧銘^|0930003360^|X145582071^|桃園市大園區大竹南路326號21樓^|20
駱碩欣^|0935222135^|Y128835663^|新北市五股區芳洲五路188號12樓^|94
洪國倫^|0923055573^|A123061708^|金門縣金沙鎮明德路304號18樓^|32
陸叡群^|0926104138^|T105725689^|苗栗縣苗栗市民權街415號12樓^|72
孫玫儒^|0920301180^|T254671303^|屏東縣屏東市廣東路172號23樓^|44
昌維意^|0928776136^|T128163043^|新竹縣新豐鄉忠孝路351號^|33
昌承瑋^|0938302117^|R133618375^|苗栗縣獅潭鄉豐林239號22樓^|20
柯芝^|0914340204^|Z241327837^|屏東縣潮州鎮中山二巷382號10樓^|83
鍾玉宜^|0924413121^|S254281488^|花蓮縣富里鄉東興400號4樓^|40
陳育成^|0988546057^|K284143753^|高雄市大樹區義大十一街74號6樓^|67
鍾冠庭^|0986565078^|U133305723^|屏東縣萬丹鄉萬新路372號11樓^|112
彭怡蒼^|0911760657^|T124231602^|南投縣集集鎮石盤巷408號5樓^|28
陸修云^|0954364620^|R244616487^|新北市平溪區柴橋坑29號9樓^|67
韓建琪^|0918708753^|R185725681^|臺南市下營區友愛街209號12樓^|61
毛宗希^|0910724877^|N142503026^|彰化縣彰化市埔北街188號8樓^|12
巴心雅^|0913005178^|L158105427^|屏東縣屏東市新振巷258號16樓^|54
邵修宜^|0953557863^|P247476689^|桃園市平鎮區鎮興里平鎮451之1號23樓^|31
簡春皓^|0926811747^|H102113786^|彰化縣溪湖鎮大溪十街190號24樓^|22
紀禎芷^|0927680227^|M243517365^|新北市三重區福隆路496號20樓^|87
瞿長恬^|0935586867^|A271741844^|臺中市北區華中街454號19樓^|72
元博秀^|0972746222^|V138015609^|屏東縣佳冬鄉佳興路98號7樓^|11
蒼嘉艾^|0925442204^|R114812782^|花蓮縣花蓮市富裕六街267號4樓^|107
張維佩^|0918512674^|Q218711518^|臺中市神岡區神圳路340號11樓^|5
陳育蘋^|0937562146^|J127303072^|彰化縣溪州鄉保安路497號2樓^|8
蒼宇宜^|0921133147^|Q107622259^|雲林縣虎尾鎮光復285號3樓^|6
孫靜怡^|0918314274^|H204010664^|花蓮縣鳳林鎮鳳義141號13樓^|14
馬桐筠^|0958577702^|X160776864^|高雄市大寮區崇文街256號11樓^|93
東絮文^|0972305205^|Q268856759^|高雄市美濃區朝元219號21樓^|68
蒙舜豪^|0938128538^|I206605639^|臺中市清水區三民路１段54號17樓^|50
顏穎^|0971605007^|T246536340^|桃園市龜山區萬壽路２段157號14樓^|108
杜若鴻^|0953402166^|H238573330^|臺中市龍井區沙田路５段水裡社巷182號22樓^|2
藍天宗^|0928111234^|G226674527^|新竹縣竹北市新工三路329號10樓^|14
吳衛志^|0932338686^|J108743663^|臺南市將軍區馬沙溝382號22樓^|48
廖采^|0971180306^|Y165405281^|高雄市鳳山區瑞興路418號19樓^|23
秦仁凌^|0910345532^|P240412687^|新北市新店區桃李二路374號21樓^|67
蔡承俊^|0986526368^|M124636656^|桃園市八德區永豐路459號14樓^|108
曲洲^|0955325417^|K226483234^|新北市鶯歌區西湖街451號2樓^|62
邵世峰^|0931533382^|B272788815^|花蓮縣吉安鄉慶豐六街359號9樓^|116
賀晴家^|0963666342^|Y200344367^|彰化縣員林市永吉街252號10樓^|120
董蓉仲^|0914385052^|K166230322^|臺南市白河區關子嶺235號9樓^|22
阮一英^|0953245117^|C240471275^|臺中市北區博館二街87號11樓^|66
豐民翔^|0936564158^|A263555807^|屏東縣鹽埔鄉自強路442號2樓^|121
林修琴^|0917220400^|T111080020^|臺南市柳營區東昇一街242號3樓^|57
邰靖佑^|0968653811^|L230856174^|桃園市中壢區潮州街337號4樓^|64
